cleaned-text-line-id,cleaned-text-paragraph-id,cleaned-text-line,cleaned-text-paragraph,summarized-text-paragraph,metadata-volume-folio,metadata-date,metadata-legal-case,metadata-proctor,metadata-frontmatter,metadata-frontmatter-witness-name,metadata-frontmatter-witness-residence,metadata-frontmatter-witness-occupation,metadata-frontmatter-witness-age,metadata-allegation,metadata-libel,metadata-interrogatory,metadata-signoff
28,3,but the said henry hearne utterly refused to retourne aboard the,"""But the said henry hearne utterly refused to retourne aboard the Merchant Adventurer, and said, and swore. By God, hee would not goe home to serve the Parliament, or to that effect, and soe the said Captaine Waterman with his shipp and such men as hee could get, was faine to come without him the said hearne, who before the finall departure thence of the Marchant Adventurer, was gonne for Candia in the said shipp the Anne Bonadventure in the service of the Venetians.""","""Henry Hearne outright refused to return to the Merchant Adventurer, stating with an oath that he would not return home to serve the Parliament. As a result, Captain Waterman had to sail back with the Merchant Adventurer and whatever crew he could gather, without Hearne. Before the Merchant Adventurer finally departed, Hearne had already sailed for Candia aboard the Anne Bonadventure to serve the Venetians.""",HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
29,3,"Merchant Adventurer, and said, and swore. By God, hee would not",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
30,3,"goe home to serve the Parliament, or to that effect, and soe the",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
31,3,said Captaine Waterman with his shipp and such men as hee could,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
32,3,"get, was faine to come without him the said hearne, who before the",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
33,3,"finall departure thence of the Marchant Adventurer, was gonne",,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
34,3,for Candia in the said shipp the Anne Bonadventure in the service,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
35,3,of the Venetians.,,,HCA 13/70 f.2r Annotate,"""The fourth of September 1654. (1654-09-04""","""hearne against Waterman""",,,,,,,,,,
37,3,The 5th of September 1654.,,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,,,,
38,3,Andrews and Clutterbuck against),,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,,,,
39,3,hasilgrave.),,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,,,,
40,3,Examined upon the foresaid libell.,,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,,,,
41,3,John Andrewes servant of Thomas Andrewes one,,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,"""John Andrewes servant of Thomas Andrewes one of the parties producent, aged 21 yeares or thereabouts sworne and examined.""","""John Andrewes""",,"""servant of Thomas Andrewes one of the parties producent""",,,,,
42,3,"of the parties producent, aged 21 yeares or thereabouts",,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,"""John Andrewes servant of Thomas Andrewes one of the parties producent, aged 21 yeares or thereabouts sworne and examined.""",,,"""servant of Thomas Andrewes one of the parties producent""","""aged 21 yeares or thereabouts""",,,,
43,3,sworne and examined.,,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,"""John Andrewes servant of Thomas Andrewes one of the parties producent, aged 21 yeares or thereabouts sworne and examined.""",,,,,,,,
44,4,To the 6th article of the said allegation hee saith and deposeth that,"""To the 6th article of the said allegation hee saith and deposeth that hee was present and sawe the weighing of the thirtie baggs of pepper arlate in the warehouse or pepper seller of the East India company [?under] the Exchange London (being thereto imployed by the said Thomas Andrews and company the producents) and tooke a note of the said weight in writing and thereby well knoweth that at the time when they were laden aboard the Levant frigot John hasilgrave commander (which was on or about the 18th of July 1653) the said thirtie baggs of pepper did containe neat, tenn thousand eightie and eight pounds of pepper, English weight, And otherwise hee cannot depose./""","""In response to the 6th article, the deponent states that he was present when thirty bags of pepper, mentioned in the allegation, were weighed in the East India Company's warehouse near the Exchange in London. He was employed by Thomas Andrews and his company, the producers, for this task. The deponent took a written note of the weight and confirms that when the pepper was loaded onto the Levant Frigate, commanded by John Hasilgrave, around July 18, 1653, the thirty bags contained a net weight of 10,088 pounds of pepper, measured by English weight. He has no further information to add.""",HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
45,4,hee was present and sawe the weighing of the thirtie baggs of pepper,,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
46,4,arlate in the warehouse or pepper seller of the East India company [?under],,,HCA 13/70 f.2r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
47,4,the Exchange London (being thereto imployed by the said Thomas Andrews,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
48,4,and company the producents) and tooke a note of the said weight in writing and thereby well knoweth that at the time,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
49,4,when they were laden aboard the Levant frigot John hasilgrave commander,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
50,4,(which was on or about the 18th of July 1653) the said thirtie baggs of,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
51,4,"pepper did containe neat, tenn thousand eightie and eight pounds of",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
52,4,"pepper, English weight, And otherwise hee cannot depose./",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
53,5,To the 9th article hee cannot depose saving as aforesaid.,"""To the 9th article hee cannot depose saving as aforesaid.""","""In response to the 9th article, the deponent has nothing further to add beyond what has already been stated.""",HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
54,6,To the 10th and 11th he saith that hee this deponent having bin six or seaven,"""To the 10th and 11th he saith that hee this deponent having bin six or seaven yeeres last with the said mr Andrewes as his servant and apprentice and writing in his counting house, this deponent hath had the oportunitie of viewing his dispatches and accompts, for which this deponent keepeth his bookes, and hath seene and entred severall accompts from Genoa of pepper sent thither from this port by the said Thomas Andrewes and company, And saith hee hath amongest others seene severall advises from the said producents for [?XXX] at Genua touching the valew or price of pepper there per pound, namely one of the third and another of the 11th of ffebruary 1653. From John Lewes and John Meade factors at Genua signifying and advertizing in that of the third of ffebruary that pepper was there sold them immediately after such receipt, at the price of 24 sols and a halfe per pound Genua weight""","""In response to the 10th and 11th articles, the deponent states that he has served as a servant and apprentice to Mr. Thomas Andrewes for the past six or seven years, working in his counting house. During this time, he has had the opportunity to review dispatches and accounts, keeping the books for Mr. Andrewes. He has seen several accounts of pepper shipments sent from London to Genoa by Thomas Andrewes and company. The deponent recalls seeing several reports from their agents in Genoa, John Lewes and John Meade, including two dated February 3rd and February 11th, 1653. These reports indicated that pepper was sold in Genoa shortly after its arrival at a price of 24.5 sols per pound, according to Genoa weight.""",HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
55,6,yeeres last with the said mr Andrewes as his servant and apprentice and writing in,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
56,6,"his counting house, this deponent hath had the oportunitie of viewing",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
57,6,"his dispatches and accompts, for which this deponent keepeth his bookes,",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
58,6,and hath seene and entred severall accompts from Genoa of pepper,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
59,6,"sent thither from this port by the said Thomas Andrewes and company,",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
60,6,And saith hee hath amongest others seene severall advises from,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
61,6,the said producents for [?XXX] at Genua touching the valew or price of pepper,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
62,6,"there per pound, namely one of the third and another of the 11th of",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
63,6,ffebruary 1653. From John Lewes and John Meade factors at Genua,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
64,6,signifying and advertizing in that of the third of ffebruary that,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
65,6,"pepper was there sold them immediately after such receipt, at the price of 24 sols and",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
66,7,"a halfe per pound Genua weight, And further saith that by the","""And further saith that by the said seeing of accompts from Genua, hee findeth and well knoweth that seaventie one pounds of pepper English weight, make an hundred pounds Genua weight or thereabouts, And otherwise saving his foregoeing deposition (whereunto and the common course of casting up an accompt hee referreth himselfe) hee cannot depose, and saving that the said pepper shipped and sent as aforesaid from hence was by this deponent in behalfe of the said producents shipped in good condition, and that the same was soe shipped in good condition, hee hath seene a bill of lading under the hand of the said hasilgrave.""","""The deponent further states that based on his review of accounts from Genoa, he knows that 71 pounds of pepper by English weight equates to around 100 pounds by Genoa weight. Beyond his previous deposition, to which he refers, and the standard accounting practices, he has no additional details to offer. He also confirms that the pepper shipped from London was in good condition when loaded, a fact he verified by seeing a bill of lading signed by Captain Hasilgrave.""",HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
67,7,"said seeing of accompts from Genua, hee findeth and well",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
68,7,"knoweth that seaventie one pounds of pepper English weight, make",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
69,7,"an hundred pounds Genua weight or thereabouts, And otherwise",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
70,7,saving his foregoeing deposition (whereunto and the common course of casting,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
71,7,"up an accompt hee referreth himselfe) hee cannot depose,",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
72,7,and saving that the said pepper shipped and sent as aforesaid from hence,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
73,7,was by this deponent in behalfe of the said producents shipped in good,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
74,7,"condition, and that the same was soe shipped in good condition, hee hath",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
75,7,seene a bill of lading under the hand of the said hasilgrave.,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
76,8,To the thirteenth article hee saith and deposeth that this deponent hath,"""To the thirteenth article hee saith and deposeth that this deponent hath seene letters of advise from the said factors at Genua sent to the said Thomas Andrews and company giving them to understand that upon and after the arivall of the said John hasalgrave at Genoa they received of him 938 dollers, which hee paid unto them (and not more as they wrote) as the proceede of pepper laden for the producents accompt for the port of Genuoa and sold by the said haslgrave before hee came to Genuoa, and that this deponent hath not seene any other advice of any other or greater summe delivered or paid unto them or to any other at any other place upon the accompt of peppers sold by the said hasalgrave;"" ","""In response to the 13th article, the deponent states that he has seen letters from the factors in Genoa to Thomas Andrews and company, informing them that upon John Hasilgrave's arrival in Genoa, they received 938 dollars from him. This sum, and no more, was paid to them as the proceeds from pepper sold by Hasilgrave before he arrived in Genoa. The deponent has not seen any other communication indicating a higher amount was paid to them or anyone else for the sale of the pepper.""",HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
77,8,seene letters of advise from the said factors at Genua sent to the said,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
78,8,Thomas Andrews and company giving them to understand that upon and,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
79,8,after the arivall of the said John hasalgrave at Genoa they received,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
80,8,"of him 938 dollers, which hee paid unto them (and not more as they wrote)",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
81,8,as the proceede of pepper laden for the producents accompt for the port of Genuoa and sold by,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
82,8,"the said haslgrave before hee came to Genuoa, and that this deponent",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
83,8,hath not seene any other advice of any other or greater summe,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
84,8,delivered or paid unto them or to any other at any other place upon the,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
85,9,accompt of peppers sold by the said hasalgrave; And further that,"""And further that by advises it did and doth appeare that about the time that the said moneys namely 938 dollers were delivered to the said producents factor at Genua by the said haselgrave, the exchange was at 58 d to the doller from Genua to London, And otherwise referring himselfe to his foregoeing deposition and the rules of arithmetick for the casting up of summes hee saith hee cannot depose.""","""And further that by advises it did and doth appeare that about the time that the said moneys namely 938 dollers were delivered to the said producents factor at Genua by the said haselgrave, the exchange was at 58 d to the doller from Genua to London, And otherwise referring himselfe to his foregoeing deposition and the rules of arithmetick for the casting up of summes hee saith hee cannot depose.""",HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
86,9,by advises it did and doth appeare that about the time that the said,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
87,9,moneys namely 938 dollers were delivered to the said producents factor,,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
88,9,"at Genua by the said haselgrave, the exchange was at 58 d to the",,,HCA 13/70 f.2v Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
89,9,"doller from Genua to London, And otherwise referring himselfe to his foregoeing",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
90,9,deposition and the rules of arithmetick for the casting up of summes hee saith,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
91,9,hee cannot depose.,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
92,10,To the 15th hee saith that the said Thomas Andrew and Richard,"""To the 15th hee saith that the said Thomas Andrew and Richard Clutterbuck were and are merchants of greate trading, and soe well knowne and accompted to be. and saith that hee cannot estimate their dammage (in the not delivery of the said pepper according to the bill of lading) sustained by them over and above the rate the said peppers would at Genua have yeelded more then the said hasilgrave sold them for.""","""The deponent further states that according to the advice received, when the 938 dollars were delivered to the factors in Genoa by John Hasilgrave, the exchange rate from Genoa to London was 58 pence per dollar. Beyond this, the deponent refers to his previous deposition and standard arithmetic for calculating sums, and he has nothing more to add.""",HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
93,10,"Clutterbuck were and are merchants of greate trading, and soe well knowne",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
94,10,and accompted to be. and saith that hee cannot estimate their dammage,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
95,10,(in the not delivery of the said pepper according to the bill of lading) sustained,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
